course,category
CS 407,Cybersecurity
CS 409,Software Engineering
CS 410,Data Science
CS 411,Data Science
CS 412,Data Science
CS 413,Theory & Algorithms
CS 414,Systems
CS 415,HCI
CS 416,HCI
CS 417,HCI
CS 418,HCI
CS 419,HCI
CS 420,Systems
CS 421,Software Engineering
CS 422,Software Engineering
CS 423,Systems
CS 424,Systems
CS 425,Systems
CS 426,Software Engineering
CS 427,Software Engineering
CS 428,Software Engineering
CS 429,Software Engineering
CS 431,Systems
CS 433,Systems
CS 434,Data Science
CS 435,Systems
CS 436,Systems
CS 437,Systems
CS 438,Systems
CS 439,Systems
CS 440,AI & ML
CS 441,AI & ML
CS 442,AI & ML
CS 443,AI & ML
CS 444,AI & ML
CS 445,AI & ML
CS 446,AI & ML
CS 447,AI & ML
CS 448,AI & ML
CS 450,Data Science
CS 452,AI & ML
CS 460,Cybersecurity
CS 461,Cybersecurity
CS 462,Cybersecurity
CS 463,Cybersecurity
CS 464,Software Engineering
CS 465,HCI
CS 466,Data Science
CS 467,HCI
CS 468,Software Engineering
CS 469,AI & ML
CS 473,Theory & Algorithms
CS 474,Theory & Algorithms
CS 475,Theory & Algorithms
CS 476,Theory & Algorithms
CS 477,Theory & Algorithms
CS 478,Theory & Algorithms
CS 481,AI & ML
CS 482,Data Science
CS 483,Data Science
CS 484,Data Science
CS 498,Software Engineering
CS 499,Software Engineering
